input_scale,0.003921568859368563
input_zero_point,0
conv1_scale,0.04618747904896736
conv1_zero_point,122
after_conv1_scale,0.06592286378145218
after_conv1_zero_point,129
conv2_scale,0.002236033556982875
conv2_zero_point,106
after_conv2_scale,0.04235054925084114
after_conv2_zero_point,154
lin1_scale,0.0008247504592873156
lin1_zero_point,129
after_lin1_scale,0.013885959051549435
after_lin1_zero_point,126
lin2_scale,0.0025746796745806932
lin2_zero_point,110
after_lin2_scale,0.18509672582149506
after_lin2_zero_point,81
